E,P,E_Genus,P_Species,D_ace_glu,w_ac_R,w_glc_F,R_F
iEcHS_1320,1215087.7_PID,Escherichia,P.Putida,0.916577,0.026984827,0.069325078,0.356778134
iECIAI39_1322,1215087.7_PID,Escherichia,P.Putida,0.833924636,0.026943628,0.071626906,0.313694338
iECO111_1330,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iB21_1397,1215087.7_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
iEC1372_W3110,1215087.7_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECIAI1_1343,1215087.7_PID,Escherichia,P.Putida,0.91819003,0.026985813,0.069221865,0.357951985
iAPECO1_1312,1215087.7_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iECABU_c1320,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iBWG_1329,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iE2348C_1286,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iAF1260,1215087.7_PID,Escherichia,P.Putida,1.051197215,0.027053217,0.061609818,0.461586592
iEC042_1314,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iYS1720,1215087.7_PID,Salmonella,P.Putida,1.026113748,0.027017509,0.069261263,0.400267573
iECOK1_1307,1215087.7_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
STM_v1_0,1215087.7_PID,Salmonella,P.Putida,1.053602835,0.027035939,0.066282613,0.429752854
iETEC_1333,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC55989_1330,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEC1368_DH5a,1215087.7_PID,Escherichia,P.Putida,0.916442037,0.026984736,0.069335693,0.356669782
iECB_1328,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECD_1391,1215087.7_PID,Escherichia,P.Putida,0.04372566,0.020393595,0.075055718,0.011880819
