"InocRep","Relative_Abundance","Family"
"C2R8",0.304753241,"Enterobacteriaceae"
"C3R8",0.001591995,"Enterobacteriaceae"
"C5R8",0.001819422,"Enterobacteriaceae"
"C6R8",0.001819422,"Enterobacteriaceae"
"C7R8",0.002729134,"Enterobacteriaceae"
"C8R8",0.64680464,"Enterobacteriaceae"
"C8R1",0.041846714,"Enterobacteriaceae"
"C8R3",0.047987264,"Enterobacteriaceae"
"C1R5",0.001364567,"Enterobacteriaceae"
"C8R6",0.225380942,"Enterobacteriaceae"
"C9R7",0.000682283,"Enterobacteriaceae"
"C8R8",0.139868092,"Enterobacteriaceae"
"C11R1",0.133045258,"Enterobacteriaceae"
"C11R2",0.246986582,"Enterobacteriaceae"
"C8R3",0.010006823,"Enterobacteriaceae"
"C12R3",0.248806004,"Enterobacteriaceae"
"C8R6",0.095974528,"Enterobacteriaceae"
"C10R6",0.040254719,"Enterobacteriaceae"
"C10R7",0.0040937,"Enterobacteriaceae"
"C11R2",0.015919945,"Enterobacteriaceae"
"C2R1",0.001137139,"Enterobacteriaceae"
"C12R6",0.000909711,"Enterobacteriaceae"
"C12R7",0.000909711,"Enterobacteriaceae"
"C1R1",0.036615874,"Enterobacteriaceae"
"C3R1",0.000227428,"Enterobacteriaceae"
"C1R2",0.076415738,"Enterobacteriaceae"
"C8R2",0.000682283,"Enterobacteriaceae"
"C12R2",0.000227428,"Enterobacteriaceae"
"C1R3",0.019786218,"Enterobacteriaceae"
"C2R3",0.002501706,"Enterobacteriaceae"
"C5R3",0.000227428,"Enterobacteriaceae"
"C1R4",0.000909711,"Enterobacteriaceae"
"C3R4",0.001137139,"Enterobacteriaceae"
"C1R6",0.008187401,"Enterobacteriaceae"
"C1R7",0.373209006,"Enterobacteriaceae"
"C2R7",0.001819422,"Enterobacteriaceae"
"C4R7",0.000454856,"Enterobacteriaceae"
"C9R7",0.000909711,"Enterobacteriaceae"
"C1R8",0.058903798,"Enterobacteriaceae"
"C2R8",0.018421651,"Enterobacteriaceae"
"C5R8",0.002274278,"Enterobacteriaceae"
"C6R8",0.000227428,"Enterobacteriaceae"
"C2R6",0.000454856,"Alcaligenaceae"
"C11R1",0.017966796,"Alcaligenaceae"
"C10R2",0.000454856,"Alcaligenaceae"
"C11R2",0.001819422,"Alcaligenaceae"
"C11R3",0.006595406,"Alcaligenaceae"
"C11R4",0.012281101,"Alcaligenaceae"
"C11R5",0.02569934,"Alcaligenaceae"
"C11R6",0.038435297,"Alcaligenaceae"
"C11R7",0.00614055,"Alcaligenaceae"
