"E","P","R_F","Experiment","type","variable"
"iJR904","303.175_PID",0.319088002,"fba","published","R/F"
"iWFL_1372","303.175_PID",0.258889354,"fba","published","R/F"
"iEcHS_1320","303.175_PID",0.304756382,"fba","published","R/F"
"iECIAI39_1322","303.175_PID",0.267898039,"fba","published","R/F"
"iECO111_1330","303.175_PID",0.258889354,"fba","published","R/F"
"iB21_1397","303.175_PID",0.009695475,"fba","published","R/F"
"iEC1372_W3110","303.175_PID",0.304663687,"fba","published","R/F"
"iECIAI1_1343","303.175_PID",0.305760616,"fba","published","R/F"
"iAPECO1_1312","303.175_PID",0.2679068,"fba","published","R/F"
"iECABU_c1320","303.175_PID",0.258889354,"fba","published","R/F"
"iBWG_1329","303.175_PID",0.258889354,"fba","published","R/F"
"iE2348C_1286","303.175_PID",0.258889354,"fba","published","R/F"
"iAF1260","303.175_PID",0.394420399,"fba","published","R/F"
"iEC042_1314","303.175_PID",0.258889354,"fba","published","R/F"
"iYS1720","303.175_PID",0.341961755,"fba","published","R/F"
"iECOK1_1307","303.175_PID",0.2679068,"fba","published","R/F"
"STM_v1_0","303.175_PID",0.36718652,"fba","published","R/F"
"iETEC_1333","303.175_PID",0.258889354,"fba","published","R/F"
"iEC55989_1330","303.175_PID",0.258889354,"fba","published","R/F"
"iEC1368_DH5a","303.175_PID",0.304663687,"fba","published","R/F"
"iECB_1328","303.175_PID",0.258889354,"fba","published","R/F"
"iECD_1391","303.175_PID",0.009695475,"fba","published","R/F"
"iG2583_1286","303.175_PID",0.22451997,"fba","published","R/F"
"iY75_1357","303.175_PID",0.258889354,"fba","published","R/F"
"iECNA114_1301","303.175_PID",0.258889354,"fba","published","R/F"
"iECBD_1354","303.175_PID",0.009695474,"fba","published","R/F"
"iAF1260b","303.175_PID",0.394420399,"fba","published","R/F"
"iEcE24377_1341","303.175_PID",0.258889354,"fba","published","R/F"
"iECSE_1348","303.175_PID",0.258889354,"fba","published","R/F"
"iECSP_1301","303.175_PID",0.258889354,"fba","published","R/F"
"iECH74115_1262","303.175_PID",0.22451997,"fba","published","R/F"
"iECSF_1327","303.175_PID",0.258889354,"fba","published","R/F"
"iECDH1ME8569_1439","303.175_PID",0.304756382,"fba","published","R/F"
"iEC1344_C","303.175_PID",0.304663687,"fba","published","R/F"
"iUMNK88_1353","303.175_PID",0.304756382,"fba","published","R/F"
"iNRG857_1313","303.175_PID",0.258889354,"fba","published","R/F"
"iEKO11_1354","303.175_PID",0.258889354,"fba","published","R/F"
"iECP_1309","303.175_PID",0.2679068,"fba","published","R/F"
"iECs_1301","303.175_PID",0.258889354,"fba","published","R/F"
"iEC1349_Crooks","303.175_PID",0.279329209,"fba","published","R/F"
"iYL1228","303.175_PID",0.304451029,"fba","published","R/F"
"iML1515","303.175_PID",0.434330468,"fba","published","R/F"
"iUTI89_1310","303.175_PID",0.304756382,"fba","published","R/F"
"iECO103_1326","303.175_PID",0.258889354,"fba","published","R/F"
"iECO26_1355","303.175_PID",0.258889354,"fba","published","R/F"
