"time_hours","variable","Family","SangerID","value"
0,"acetate (mM)","Enterobacteriaceae",269,0
0,"acetate (mM)","Enterobacteriaceae",270,0
0,"acetate (mM)","Enterobacteriaceae",435,0
0,"acetate (mM)","Pseudomonadaceae",272,0
0,"acetate (mM)","Enterobacteriaceae",273,0
0,"acetate (mM)","Pseudomonadaceae",274,0
0,"acetate (mM)","Enterobacteriaceae",438,0
0,"acetate (mM)","Enterobacteriaceae",439,0
0,"acetate (mM)","Enterobacteriaceae",283,0
0,"acetate (mM)","Enterobacteriaceae",284,0
0,"acetate (mM)","Enterobacteriaceae",286,0
0,"acetate (mM)","Enterobacteriaceae",287,0
0,"acetate (mM)","Enterobacteriaceae",440,0
0,"acetate (mM)","Pseudomonadaceae",441,0
0,"acetate (mM)","Enterobacteriaceae",442,0
0,"acetate (mM)","Enterobacteriaceae",160,0
0,"acetate (mM)","Enterobacteriaceae",165,0
0,"acetate (mM)","Enterobacteriaceae",169,0
0,"acetate (mM)","Pseudomonadaceae",523,0
0,"acetate (mM)","Enterobacteriaceae",276,0
0,"acetate (mM)","Enterobacteriaceae",277,0
0,"acetate (mM)","Enterobacteriaceae",278,0
0,"acetate (mM)","Enterobacteriaceae",288,0
0,"acetate (mM)","Enterobacteriaceae",289,0
0,"acetate (mM)","Pseudomonadaceae",290,0
0,"acetate (mM)","Pseudomonadaceae",444,0
0,"acetate (mM)","Pseudomonadaceae",294,0
0,"acetate (mM)","Enterobacteriaceae",295,0
0,"acetate (mM)","Enterobacteriaceae",303,0
0,"acetate (mM)","Pseudomonadaceae",304,0
0,"acetate (mM)","Enterobacteriaceae",305,0
0,"acetate (mM)","Enterobacteriaceae",308,0
0,"acetate (mM)","Enterobacteriaceae",310,0
0,"acetate (mM)","Enterobacteriaceae",311,0
0,"acetate (mM)","Pseudomonadaceae",316,0
0,"acetate (mM)","Enterobacteriaceae",317,0
0,"acetate (mM)","Enterobacteriaceae",320,0
0,"acetate (mM)","Pseudomonadaceae",321,0
0,"acetate (mM)","Enterobacteriaceae",322,0
0,"acetate (mM)","Pseudomonadaceae",325,0
0,"acetate (mM)","Enterobacteriaceae",448,0
0,"acetate (mM)","Pseudomonadaceae",449,0
16,"acetate (mM)","Pseudomonadaceae",326,0
16,"acetate (mM)","Enterobacteriaceae",327,6.454912866
16,"acetate (mM)","Enterobacteriaceae",332,9.463471257
16,"acetate (mM)","Pseudomonadaceae",335,0.089053126
16,"acetate (mM)","Moraxellaceae",336,0
