"w_ratio","rf_pair","Experiment","type","variable"
0.376360421372193,"303.492_PID_iECP_1309","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECs_1301","fba","published","w[ace,R] / w[glu,F]"
0.378212931190441,"303.492_PID_iEC1349_Crooks","fba","published","w[ace,R] / w[glu,F]"
0.373202784199359,"303.492_PID_iYL1228","fba","published","w[ace,R] / w[glu,F]"
0.465821337454978,"303.492_PID_iML1515","fba","published","w[ace,R] / w[glu,F]"
0.389380766365672,"303.492_PID_iUTI89_1310","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECO103_1326","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECO26_1355","fba","published","w[ace,R] / w[glu,F]"
0.376360421372193,"303.492_PID_iUMN146_1321","fba","published","w[ace,R] / w[glu,F]"
0.414297259064982,"303.492_PID_iSDY_1059","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECW_1372","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iEcDH1_1363","fba","published","w[ace,R] / w[glu,F]"
0.376360421372193,"303.492_PID_iECS88_1305","fba","published","w[ace,R] / w[glu,F]"
0.139804579638216,"303.492_PID_iEC1356_Bl21DE3","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iEcSMS35_1347","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iEcolC_1368","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iZ_1308","fba","published","w[ace,R] / w[glu,F]"
0.373267999026602,"1215087.7_PID_iECED1_1282","fba","published","w[ace,R] / w[glu,F]"
0.378886448142771,"1215087.7_PID_iEC1364_W","fba","published","w[ace,R] / w[glu,F]"
0.389194431123019,"1215087.7_PID_iJO1366","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iLF82_1304","fba","published","w[ace,R] / w[glu,F]"
0.368604970233119,"1215087.7_PID_e_coli_core","fba","published","w[ace,R] / w[glu,F]"
0.402515209804,"1215087.7_PID_iJR904","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iWFL_1372","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"1215087.7_PID_iEcHS_1320","fba","published","w[ace,R] / w[glu,F]"
0.37616629706161,"1215087.7_PID_iECIAI39_1322","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iECO111_1330","fba","published","w[ace,R] / w[glu,F]"
0.271712742791962,"1215087.7_PID_iB21_1397","fba","published","w[ace,R] / w[glu,F]"
0.389189677530157,"1215087.7_PID_iEC1372_W3110","fba","published","w[ace,R] / w[glu,F]"
0.389845217259026,"1215087.7_PID_iECIAI1_1343","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"1215087.7_PID_iAPECO1_1312","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iECABU_c1320","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iBWG_1329","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iE2348C_1286","fba","published","w[ace,R] / w[glu,F]"
0.43910561462785,"1215087.7_PID_iAF1260","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"1215087.7_PID_iEC042_1314","fba","published","w[ace,R] / w[glu,F]"
0.390081090493542,"1215087.7_PID_iYS1720","fba","published","w[ace,R] / w[glu,F]"
