"Experiment","w_ratio","rf_pair","type"
"empir_calc",0.181812781893452,"326_343","emp"
"empir_calc",0.340756817182414,"326_345","emp"
"empir_calc",0.468755012448752,"326_346","emp"
"empir_calc",0.506352366115947,"326_348","emp"
"empir_calc",0.380323352788126,"326_356","emp"
"empir_calc",0.363114160157116,"326_358","emp"
"empir_calc",0.351965910456879,"326_360","emp"
"empir_calc",0.395942795237125,"326_364","emp"
"empir_calc",0.50202561556261,"326_435","emp"
"empir_calc",0.465971455530695,"326_438","emp"
"empir_calc",0.424223100335089,"326_439","emp"
"empir_calc",0.367268789603144,"326_440","emp"
"empir_calc",0.321636203221609,"326_442","emp"
"empir_calc",0.306290945874526,"326_448","emp"
"empir_calc",0.600004184644838,"326_458","emp"
"empir_calc",0.577517276171282,"326_460","emp"
"empir_calc",0.373247573221883,"326_461","emp"
"empir_calc",0.522431529180722,"350_160","emp"
"empir_calc",0.905682440215601,"350_165","emp"
"empir_calc",0.672467275307391,"350_169","emp"
"empir_calc",0.641295121442738,"350_259","emp"
"empir_calc",0.576343378122631,"350_269","emp"
"empir_calc",0.78989468278209,"350_270","emp"
"empir_calc",0.573525049955544,"350_273","emp"
"empir_calc",0.538611605766314,"350_276","emp"
"empir_calc",0.80608853979408,"350_277","emp"
"empir_calc",0.681134200831474,"350_278","emp"
"empir_calc",0.518964034834507,"350_280","emp"
"empir_calc",0.485655809830466,"350_283","emp"
"empir_calc",0.588508403330002,"350_284","emp"
"empir_calc",0.85818570769317,"350_286","emp"
"empir_calc",0.614062179788776,"350_287","emp"
"empir_calc",0.664509203356772,"350_288","emp"
"empir_calc",0.681299522970185,"350_289","emp"
"empir_calc",0.480679821966136,"350_295","emp"
"empir_calc",0.456365274496701,"350_303","emp"
"empir_calc",0.471027604908916,"350_305","emp"
"empir_calc",0.506634451824494,"350_308","emp"
"empir_calc",0.439272950515876,"350_310","emp"
"empir_calc",0.524406812028287,"350_311","emp"
"empir_calc",0.485655809830466,"350_317","emp"
"empir_calc",0.45371712911761,"350_320","emp"
"empir_calc",0.43519805721469,"350_322","emp"
"empir_calc",0.511715093754784,"350_327","emp"
"empir_calc",0.842572391384652,"350_332","emp"
"empir_calc",0.502294972632457,"350_338","emp"
"empir_calc",0.539245387344381,"350_340","emp"
"empir_calc",0.265726376584727,"350_343","emp"
"empir_calc",0.498029200056414,"350_345","emp"
"empir_calc",0.685103487591603,"350_346","emp"
"empir_calc",0.740053466658603,"350_348","emp"
"empir_calc",0.555857214297337,"350_356","emp"
"empir_calc",0.530705317086574,"350_358","emp"
"empir_calc",0.514411721183941,"350_360","emp"
"empir_calc",0.5786856304462,"350_364","emp"
"empir_calc",0.733729754238879,"350_435","emp"
"empir_calc",0.681035212049315,"350_438","emp"
"empir_calc",0.620018384525045,"350_439","emp"
"empir_calc",0.536777467885038,"350_440","emp"
"empir_calc",0.470083687023906,"350_442","emp"
"empir_calc",0.447656002951671,"350_448","emp"
"empir_calc",0.876929203001698,"350_458","emp"
"empir_calc",0.844063721009501,"350_460","emp"
"empir_calc",0.545515690197278,"350_461","emp"
"empir_calc",0.458273299913539,"428_160","emp"
"empir_calc",0.794458330649057,"428_165","emp"
"empir_calc",0.589883611776387,"428_169","emp"
"empir_calc",0.562539615445673,"428_259","emp"
"empir_calc",0.505564398438534,"428_269","emp"
"empir_calc",0.69289011601267,"428_270","emp"
"empir_calc",0.503092180593268,"428_273","emp"
"empir_calc",0.472466350438957,"428_276","emp"
"empir_calc",0.707095254632176,"428_277","emp"
"empir_calc",0.597486178501742,"428_278","emp"
"empir_calc",0.455231638015829,"428_280","emp"
"empir_calc",0.426013894954262,"428_283","emp"
"empir_calc",0.516235473850188,"428_284","emp"
