seq,isolate,csource,r.sem,r,t.r.sem,t.r,lag.sem,lag,maxOD.sem,maxOD
342,11.1.C.3,Dlactate,0.050217521,1.301527738,0.041666667,4.708333333,0.029374721,4.193426269,0.012666147,1.137308864
342,11.1.C.3,succinate,0.15007883,0.550080363,1.75,7.083333333,1.248872479,5.916020617,0.057245009,0.966973996
343,11.2.A.1,Dlactate,0.036311364,0.511267447,0.208333333,3.875,0.208343969,2.74162478,0.06461948,0.738331545
343,11.2.A.1,succinate,0.06997086,0.464674845,1.083333333,11.75,1.259540675,9.904767059,0.025344652,0.530632181
344,11.2.A.3,Dlactate,0.014318299,0.18000008,0.245326691,7.833333333,0.268362888,5.343141706,0.023604368,0.394587509
344,11.2.A.3,succinate,0.061745594,0.336876447,2.666666667,4,2.234354205,2.750004827,0.061910077,0.322881443
345,11.2.A.3.2,Dlactate,0.056546944,0.563718038,0,1.166666667,0.080692092,0.539370759,0.010620588,0.56510845
345,11.2.A.3.2,succinate,0.114244034,0.213909813,2.583333333,3.75,0.911104195,1.108888069,0.069596534,0.525788136
346,11.2.B.1,Dlactate,0.028611272,0.27723023,4.132358756,7.583333333,4.185571251,6.050612908,0.008149557,0.473522222
346,11.2.B.1,succinate,0.091296269,0.091296269,,,,,,
348,11.2.B.3,Dlactate,0.027524631,0.266556778,2.242657773,7.625,1.963818558,5.730091214,0.044464672,0.439440679
348,11.2.B.3,succinate,0.000942077,0.33513583,1.166666667,7.333333333,0.992731918,5.307010518,0.015234356,0.24999119
350,11.2.B.6,Dlactate,0.031963975,0.966876468,0.125,3.458333333,0.129500377,2.874419003,0.037431797,0.634621467
350,11.2.B.6,succinate,0.016427289,0.621400161,0.333333333,5.833333333,0.19346676,4.981986073,0.012688175,0.445850211
352,11.5.A.1,Dlactate,0.03969725,0.445903978,1.09581485,5.208333333,0.782845758,3.885225291,0.086452623,0.74475214
352,11.5.A.1,succinate,0.032531643,0.690138626,0.75,6.416666667,0.76445246,5.286784713,0.116219094,0.773430588
356,11.5.B.3,Dlactate,0.023849013,0.436057166,0.280541804,1.5,0.195784109,0.575123173,0.016325752,0.565522112
356,11.5.B.3,succinate,0.10757214,0.176586125,3.666666667,4.833333333,0.880312861,0.985259957,0.110820788,0.528940831
358,11.6.A.3,Dlactate,0.071364517,0.492571488,0.32185084,1.541666667,0.178857817,0.665673632,0.017350536,0.560548902
358,11.6.A.3,succinate,0.068894808,0.407006521,0.833333333,2,0.122219707,0.8907253,0.095095277,0.465186428
360,11.6.A.5,Dlactate,0.067071876,0.415435062,0,1.166666667,0.125653008,0.189643441,0.029401608,0.509911943
